gene_symbol	source	source_group	label_type	priority_axis	is_positive	is_validation_source	notes
8229807	chembl_clinical	drug	database_evidence	clinical	1	1	
8230507	chembl_clinical	drug	database_evidence	clinical	1	1	
8230508	chembl_clinical	drug	database_evidence	clinical	1	1	
8230819	chembl_clinical	drug	database_evidence	clinical	1	1	
8230924	chembl_clinical	drug	database_evidence	clinical	1	1	
8230937	chembl_clinical	drug	database_evidence	clinical	1	1	
8230957	chembl_clinical	drug	database_evidence	clinical	1	1	
8231029	chembl_clinical	drug	database_evidence	clinical	1	1	
8231511	chembl_clinical	drug	database_evidence	clinical	1	1	
8232002	chembl_clinical	drug	database_evidence	clinical	1	1	
8232310	chembl_clinical	drug	database_evidence	clinical	1	1	
8232678	chembl_clinical	drug	database_evidence	clinical	1	1	
8232849	chembl_clinical	drug	database_evidence	clinical	1	1	
8232852	chembl_clinical	drug	database_evidence	clinical	1	1	
8232915	chembl_clinical	drug	database_evidence	clinical	1	1	
8232983	chembl_clinical	drug	database_evidence	clinical	1	1	
8233619	chembl_clinical	drug	database_evidence	clinical	1	1	
8233620	chembl_clinical	drug	database_evidence	clinical	1	1	
8233621	chembl_clinical	drug	database_evidence	clinical	1	1	
8233823	chembl_clinical	drug	database_evidence	clinical	1	1	
8233868	chembl_clinical	drug	database_evidence	clinical	1	1	
8234154	chembl_clinical	drug	database_evidence	clinical	1	1	
8234407	chembl_clinical	drug	database_evidence	clinical	1	1	
8234408	chembl_clinical	drug	database_evidence	clinical	1	1	
8234840	chembl_clinical	drug	database_evidence	clinical	1	1	
8235475	chembl_clinical	drug	database_evidence	clinical	1	1	
8236087	chembl_clinical	drug	database_evidence	clinical	1	1	
8236088	chembl_clinical	drug	database_evidence	clinical	1	1	
8236100	chembl_clinical	drug	database_evidence	clinical	1	1	
8236974	chembl_clinical	drug	database_evidence	clinical	1	1	
8237447	chembl_clinical	drug	database_evidence	clinical	1	1	
8237618	chembl_clinical	drug	database_evidence	clinical	1	1	
8237795	chembl_clinical	drug	database_evidence	clinical	1	1	
8238085	chembl_clinical	drug	database_evidence	clinical	1	1	
8238086	chembl_clinical	drug	database_evidence	clinical	1	1	
8238272	chembl_clinical	drug	database_evidence	clinical	1	1	
8238273	chembl_clinical	drug	database_evidence	clinical	1	1	
8238275	chembl_clinical	drug	database_evidence	clinical	1	1	
8238343	chembl_clinical	drug	database_evidence	clinical	1	1	
8238380	chembl_clinical	drug	database_evidence	clinical	1	1	
8238404	chembl_clinical	drug	database_evidence	clinical	1	1	
8239847	chembl_clinical	drug	database_evidence	clinical	1	1	
8239920	chembl_clinical	drug	database_evidence	clinical	1	1	
8240195	chembl_clinical	drug	database_evidence	clinical	1	1	
A2M	chembl_clinical	drug	database_evidence	clinical	1	1	
ABAT	chembl_clinical	drug	database_evidence	clinical	1	1	
ABCA1	chembl_clinical	drug	database_evidence	clinical	1	1	
ABCB1	chembl_clinical	drug	database_evidence	clinical	1	1	
ABCC1	chembl_clinical	drug	database_evidence	clinical	1	1	
ABCC8	chembl_clinical	drug	database_evidence	clinical	1	1	
ABCC9	chembl_clinical	drug	database_evidence	clinical	1	1	
ABL	chembl_clinical	drug	database_evidence	clinical	1	1	
ABL1	chembl_clinical	drug	database_evidence	clinical	1	1	
ABP1	chembl_clinical	drug	database_evidence	clinical	1	1	
ACACA	chembl_clinical	drug	database_evidence	clinical	1	1	
ACACB	chembl_clinical	drug	database_evidence	clinical	1	1	
ACAT	chembl_clinical	drug	database_evidence	clinical	1	1	
ACAT1	chembl_clinical	drug	database_evidence	clinical	1	1	
ACAT2	chembl_clinical	drug	database_evidence	clinical	1	1	
ACE	chembl_clinical	drug	database_evidence	clinical	1	1	
ACE-1	chembl_clinical	drug	database_evidence	clinical	1	1	
ACE1	chembl_clinical	drug	database_evidence	clinical	1	1	
ACHE	chembl_clinical	drug	database_evidence	clinical	1	1	
ACLY	chembl_clinical	drug	database_evidence	clinical	1	1	
ACP3	chembl_clinical	drug	database_evidence	clinical	1	1	
ACPP	chembl_clinical	drug	database_evidence	clinical	1	1	
ACVR1	chembl_clinical	drug	database_evidence	clinical	1	1	
ACVR2A	chembl_clinical	drug	database_evidence	clinical	1	1	
ACVR2B	chembl_clinical	drug	database_evidence	clinical	1	1	
ACVRL1	chembl_clinical	drug	database_evidence	clinical	1	1	
ADA	chembl_clinical	drug	database_evidence	clinical	1	1	
ADAM17	chembl_clinical	drug	database_evidence	clinical	1	1	
ADAMTS13	chembl_clinical	drug	database_evidence	clinical	1	1	
ADAMTS5	chembl_clinical	drug	database_evidence	clinical	1	1	
ADH1A	chembl_clinical	drug	database_evidence	clinical	1	1	
ADH1B	chembl_clinical	drug	database_evidence	clinical	1	1	
ADH1C	chembl_clinical	drug	database_evidence	clinical	1	1	
ADH4	chembl_clinical	drug	database_evidence	clinical	1	1	
ADH5	chembl_clinical	drug	database_evidence	clinical	1	1	
ADH6	chembl_clinical	drug	database_evidence	clinical	1	1	
ADH7	chembl_clinical	drug	database_evidence	clinical	1	1	
ADM	chembl_clinical	drug	database_evidence	clinical	1	1	
ADORA1	chembl_clinical	drug	database_evidence	clinical	1	1	
ADORA2A	chembl_clinical	drug	database_evidence	clinical	1	1	
ADORA2B	chembl_clinical	drug	database_evidence	clinical	1	1	
ADORA3	chembl_clinical	drug	database_evidence	clinical	1	1	
