gene_symbol	clinical_positive	discovery_positive	positive_source_count	clinical_sources	discovery_sources	heldout_eligible_sources
8229807	1	0	1	chembl_clinical		chembl_clinical
8230507	1	0	1	chembl_clinical		chembl_clinical
8230508	1	0	1	chembl_clinical		chembl_clinical
8230819	1	0	1	chembl_clinical		chembl_clinical
8230924	1	0	1	chembl_clinical		chembl_clinical
8230937	1	0	1	chembl_clinical		chembl_clinical
8230957	1	0	1	chembl_clinical		chembl_clinical
8231029	1	0	1	chembl_clinical		chembl_clinical
8231511	1	0	1	chembl_clinical		chembl_clinical
8232002	1	0	1	chembl_clinical		chembl_clinical
8232310	1	0	1	chembl_clinical		chembl_clinical
8232678	1	0	1	chembl_clinical		chembl_clinical
8232849	1	0	1	chembl_clinical		chembl_clinical
8232852	1	0	1	chembl_clinical		chembl_clinical
8232915	1	0	1	chembl_clinical		chembl_clinical
8232983	1	0	1	chembl_clinical		chembl_clinical
8233619	1	0	1	chembl_clinical		chembl_clinical
8233620	1	0	1	chembl_clinical		chembl_clinical
8233621	1	0	1	chembl_clinical		chembl_clinical
8233823	1	0	1	chembl_clinical		chembl_clinical
8233868	1	0	1	chembl_clinical		chembl_clinical
8234154	1	0	1	chembl_clinical		chembl_clinical
8234407	1	0	1	chembl_clinical		chembl_clinical
8234408	1	0	1	chembl_clinical		chembl_clinical
8234840	1	0	1	chembl_clinical		chembl_clinical
8235475	1	0	1	chembl_clinical		chembl_clinical
8236087	1	0	1	chembl_clinical		chembl_clinical
8236088	1	0	1	chembl_clinical		chembl_clinical
8236100	1	0	1	chembl_clinical		chembl_clinical
8236974	1	0	1	chembl_clinical		chembl_clinical
8237447	1	0	1	chembl_clinical		chembl_clinical
8237618	1	0	1	chembl_clinical		chembl_clinical
8237795	1	0	1	chembl_clinical		chembl_clinical
8238085	1	0	1	chembl_clinical		chembl_clinical
8238086	1	0	1	chembl_clinical		chembl_clinical
8238272	1	0	1	chembl_clinical		chembl_clinical
8238273	1	0	1	chembl_clinical		chembl_clinical
8238275	1	0	1	chembl_clinical		chembl_clinical
8238343	1	0	1	chembl_clinical		chembl_clinical
8238380	1	0	1	chembl_clinical		chembl_clinical
8238404	1	0	1	chembl_clinical		chembl_clinical
8239847	1	0	1	chembl_clinical		chembl_clinical
8239920	1	0	1	chembl_clinical		chembl_clinical
8240195	1	0	1	chembl_clinical		chembl_clinical
A2M	1	0	1	chembl_clinical		chembl_clinical
ABAT	1	0	1	chembl_clinical		chembl_clinical
ABCA1	1	0	1	chembl_clinical		chembl_clinical
ABCB1	1	0	1	chembl_clinical		chembl_clinical
ABCC1	1	0	1	chembl_clinical		chembl_clinical
ABCC8	1	0	1	chembl_clinical		chembl_clinical
ABCC9	1	0	1	chembl_clinical		chembl_clinical
ABI1	1	0	1	opentargets_high_evidence		opentargets_high_evidence
ABL	1	0	1	chembl_clinical		chembl_clinical
ABL1	1	0	2	chembl_clinical;opentargets_high_evidence		chembl_clinical;opentargets_high_evidence
ABL2	1	0	1	opentargets_high_evidence		opentargets_high_evidence
ABO	1	0	1	opentargets_high_evidence		opentargets_high_evidence
ABP1	1	0	1	chembl_clinical		chembl_clinical
ACACA	1	0	1	chembl_clinical		chembl_clinical
ACACB	1	0	1	chembl_clinical		chembl_clinical
ACAT	1	0	1	chembl_clinical		chembl_clinical
ACAT1	1	0	1	chembl_clinical		chembl_clinical
ACAT2	1	0	1	chembl_clinical		chembl_clinical
ACE	1	0	1	chembl_clinical		chembl_clinical
ACE-1	1	0	1	chembl_clinical		chembl_clinical
ACE1	1	0	1	chembl_clinical		chembl_clinical
ACHE	1	0	1	chembl_clinical		chembl_clinical
ACLY	1	0	1	chembl_clinical		chembl_clinical
ACP3	1	0	1	chembl_clinical		chembl_clinical
ACPP	1	0	1	chembl_clinical		chembl_clinical
ACVR1	1	0	2	chembl_clinical;opentargets_high_evidence		chembl_clinical;opentargets_high_evidence
ACVR1B	1	0	1	opentargets_high_evidence		opentargets_high_evidence
ACVR2A	1	0	2	chembl_clinical;opentargets_high_evidence		chembl_clinical;opentargets_high_evidence
ACVR2B	1	0	1	chembl_clinical		chembl_clinical
ACVRL1	1	0	1	chembl_clinical		chembl_clinical
ADA	1	0	1	chembl_clinical		chembl_clinical
ADAM17	1	0	1	chembl_clinical		chembl_clinical
ADAMTS13	1	0	1	chembl_clinical		chembl_clinical
ADAMTS5	1	0	1	chembl_clinical		chembl_clinical
ADH1A	1	0	1	chembl_clinical		chembl_clinical
ADH1B	1	0	1	chembl_clinical		chembl_clinical
ADH1C	1	0	1	chembl_clinical		chembl_clinical
ADH4	1	0	1	chembl_clinical		chembl_clinical
ADH5	1	0	1	chembl_clinical		chembl_clinical
ADH6	1	0	1	chembl_clinical		chembl_clinical
ADH7	1	0	1	chembl_clinical		chembl_clinical
ADM	1	0	1	chembl_clinical		chembl_clinical
ADORA1	1	0	1	chembl_clinical		chembl_clinical
ADORA2A	1	0	1	chembl_clinical		chembl_clinical
ADORA2B	1	0	1	chembl_clinical		chembl_clinical
ADORA3	1	0	1	chembl_clinical		chembl_clinical
ADRA1A	1	0	1	chembl_clinical		chembl_clinical
ADRA1B	1	0	1	chembl_clinical		chembl_clinical
ADRA1D	1	0	1	chembl_clinical		chembl_clinical
ADRA2A	1	0	1	chembl_clinical		chembl_clinical
ADRA2B	1	0	1	chembl_clinical		chembl_clinical
ADRA2C	1	0	1	chembl_clinical		chembl_clinical
ADRB1	1	0	1	chembl_clinical		chembl_clinical
ADRB2	1	0	1	chembl_clinical		chembl_clinical
ADRB3	1	0	1	chembl_clinical		chembl_clinical
ADRM1	1	0	1	chembl_clinical		chembl_clinical
AFDN	1	0	1	opentargets_high_evidence		opentargets_high_evidence
AFF3	1	0	1	opentargets_high_evidence		opentargets_high_evidence
AFF4	1	0	1	opentargets_high_evidence		opentargets_high_evidence
AFP	1	0	1	chembl_clinical		chembl_clinical
AGER	1	0	1	chembl_clinical		chembl_clinical
AGT	1	0	1	chembl_clinical		chembl_clinical
AGTR1	1	0	1	chembl_clinical		chembl_clinical
AGTR1B	1	0	1	chembl_clinical		chembl_clinical
AGTR2	1	0	1	chembl_clinical		chembl_clinical
AHR	1	0	1	chembl_clinical		chembl_clinical
AIM1	1	0	1	chembl_clinical		chembl_clinical
AKR1B1	1	0	1	chembl_clinical		chembl_clinical
AKT1	1	0	1	chembl_clinical		chembl_clinical
AKT2	1	0	2	chembl_clinical;opentargets_high_evidence		chembl_clinical;opentargets_high_evidence
AKT3	1	0	1	chembl_clinical		chembl_clinical
ALCAM	1	0	1	chembl_clinical		chembl_clinical
ALDH2	1	0	1	chembl_clinical		chembl_clinical
ALDH5A1	1	0	1	chembl_clinical		chembl_clinical
ALK	1	0	2	chembl_clinical;opentargets_high_evidence		chembl_clinical;opentargets_high_evidence
ALOX12	1	0	1	chembl_clinical		chembl_clinical
ALOX5	1	0	1	chembl_clinical		chembl_clinical
ALOX5AP	1	0	1	chembl_clinical		chembl_clinical
ALR	1	0	1	chembl_clinical		chembl_clinical
AMPC	1	0	1	chembl_clinical		chembl_clinical
AMY2A	1	0	1	chembl_clinical		chembl_clinical
ANGIOPOIETIN-1	1	0	1	chembl_clinical		chembl_clinical
ANGIOPOIETIN-2	1	0	1	chembl_clinical		chembl_clinical
ANGPT1	1	0	1	chembl_clinical		chembl_clinical
ANGPT2	1	0	1	chembl_clinical		chembl_clinical
ANGPTL3	1	0	1	chembl_clinical		chembl_clinical
ANO1	1	0	1	chembl_clinical		chembl_clinical
ANPEP	1	0	1	chembl_clinical		chembl_clinical
AOC1	1	0	1	chembl_clinical		chembl_clinical
AOC3	1	0	1	chembl_clinical		chembl_clinical
AOPEP	1	0	1	chembl_clinical		chembl_clinical
APC	1	0	1	opentargets_high_evidence		opentargets_high_evidence
APCS	1	0	1	chembl_clinical		chembl_clinical
APEX1	1	0	1	chembl_clinical		chembl_clinical
APH1A	1	0	1	chembl_clinical		chembl_clinical
APH1B	1	0	1	chembl_clinical		chembl_clinical
APLNR	1	0	1	chembl_clinical		chembl_clinical
APP	1	0	1	chembl_clinical		chembl_clinical
AR	1	0	2	chembl_clinical;opentargets_high_evidence		chembl_clinical;opentargets_high_evidence
ARAF	1	0	1	chembl_clinical		chembl_clinical
ARHGAP26	1	0	1	opentargets_high_evidence		opentargets_high_evidence
ARHGEF12	1	0	1	opentargets_high_evidence		opentargets_high_evidence
ARID1A	1	0	1	opentargets_high_evidence		opentargets_high_evidence
ARID1B	1	0	1	opentargets_high_evidence		opentargets_high_evidence
ARID2	1	0	1	opentargets_high_evidence		opentargets_high_evidence
ARNT	1	0	1	opentargets_high_evidence		opentargets_high_evidence
AROMATASE	1	0	1	chembl_clinical		chembl_clinical
ASGR1	1	0	1	chembl_clinical		chembl_clinical
ASXL1	1	0	1	opentargets_high_evidence		opentargets_high_evidence
ATF1	1	0	1	opentargets_high_evidence		opentargets_high_evidence
ATM	1	0	1	opentargets_high_evidence		opentargets_high_evidence
ATP1A1	1	0	1	chembl_clinical		chembl_clinical
ATP1A2	1	0	1	chembl_clinical		chembl_clinical
ATP1A3	1	0	1	chembl_clinical		chembl_clinical
ATP1A4	1	0	1	chembl_clinical		chembl_clinical
ATP1B1	1	0	1	chembl_clinical		chembl_clinical
ATP1B2	1	0	1	chembl_clinical		chembl_clinical
ATP1B3	1	0	1	chembl_clinical		chembl_clinical
ATP2A1	1	0	1	chembl_clinical		chembl_clinical
ATP2A2	1	0	1	chembl_clinical		chembl_clinical
ATP2A3	1	0	1	chembl_clinical		chembl_clinical
ATP2B3	1	0	1	opentargets_high_evidence		opentargets_high_evidence
ATP4A	1	0	1	chembl_clinical		chembl_clinical
ATP4B	1	0	1	chembl_clinical		chembl_clinical
ATPA	1	0	1	chembl_clinical		chembl_clinical
ATPB	1	0	1	chembl_clinical		chembl_clinical
ATPC	1	0	1	chembl_clinical		chembl_clinical
ATPD	1	0	1	chembl_clinical		chembl_clinical
ATPE	1	0	1	chembl_clinical		chembl_clinical
ATPF	1	0	1	chembl_clinical		chembl_clinical
ATPFH	1	0	1	chembl_clinical		chembl_clinical
ATPG	1	0	1	chembl_clinical		chembl_clinical
ATR	1	1	3	chembl_clinical;opentargets_high_evidence	known_dependency	chembl_clinical;known_dependency;opentargets_high_evidence
ATRX	1	0	1	opentargets_high_evidence		opentargets_high_evidence
AURKA	1	1	3	chembl_clinical	curated_literature:Savage2024;known_dependency	chembl_clinical;curated_literature:Savage2024;known_dependency
AURKB	1	1	3	chembl_clinical	curated_literature:Savage2024;known_dependency	chembl_clinical;curated_literature:Savage2024;known_dependency
AURKC	1	0	1	chembl_clinical		chembl_clinical
AVPR1A	1	0	1	chembl_clinical		chembl_clinical
AVPR1B	1	0	1	chembl_clinical		chembl_clinical
AVPR2	1	0	1	chembl_clinical		chembl_clinical
AXIN1	1	0	1	opentargets_high_evidence		opentargets_high_evidence
AXIN2	1	0	1	opentargets_high_evidence		opentargets_high_evidence
AXL	1	0	1	chembl_clinical		chembl_clinical
BACE1	1	0	1	chembl_clinical		chembl_clinical
BAP1	1	0	1	opentargets_high_evidence		opentargets_high_evidence
BARD1	1	0	1	opentargets_high_evidence		opentargets_high_evidence
BASIGIN	1	0	1	chembl_clinical		chembl_clinical
BCAR1	1	0	1	opentargets_high_evidence		opentargets_high_evidence
BCHE	1	0	1	chembl_clinical		chembl_clinical
BCL1	1	0	1	chembl_clinical		chembl_clinical
BCL11A	1	0	2	chembl_clinical;opentargets_high_evidence		chembl_clinical;opentargets_high_evidence
BCL11B	1	0	1	opentargets_high_evidence		opentargets_high_evidence
BCL2	1	0	2	chembl_clinical;opentargets_high_evidence		chembl_clinical;opentargets_high_evidence
BCL2A1	1	0	1	chembl_clinical		chembl_clinical
BCL2L1	1	0	1	chembl_clinical		chembl_clinical
BCL2L10	1	0	1	chembl_clinical		chembl_clinical
BCL2L2	1	0	1	chembl_clinical		chembl_clinical
BCL6	1	0	1	opentargets_high_evidence		opentargets_high_evidence
BCL9	1	0	1	opentargets_high_evidence		opentargets_high_evidence
BCL9L	1	0	1	opentargets_high_evidence		opentargets_high_evidence
BCOR	1	0	1	opentargets_high_evidence		opentargets_high_evidence
BCORL1	1	0	1	opentargets_high_evidence		opentargets_high_evidence
BCR	1	0	1	chembl_clinical		chembl_clinical
BDKRB1	1	0	1	chembl_clinical		chembl_clinical
BDKRB2	1	0	1	chembl_clinical		chembl_clinical
BETA-CATENIN	1	0	1	chembl_clinical		chembl_clinical
BETA-KLOTHO	1	0	1	chembl_clinical		chembl_clinical
BHMT	1	0	1	chembl_clinical		chembl_clinical
BHMT2	1	0	1	chembl_clinical		chembl_clinical
BIRC2	1	0	1	chembl_clinical		chembl_clinical
BIRC3	1	0	1	chembl_clinical		chembl_clinical
BIRC5	1	0	1	chembl_clinical		chembl_clinical
BLA	1	0	1	chembl_clinical		chembl_clinical
BLACTX-M-15	1	0	1	chembl_clinical		chembl_clinical
BLAIMP-1	1	0	1	chembl_clinical		chembl_clinical
BLAT-3	1	0	1	chembl_clinical		chembl_clinical
BLAT-4	1	0	1	chembl_clinical		chembl_clinical
BLAT-5	1	0	1	chembl_clinical		chembl_clinical
BLAT-6	1	0	1	chembl_clinical		chembl_clinical
BLAUOE-1	1	0	1	chembl_clinical		chembl_clinical
BLK	1	0	1	chembl_clinical		chembl_clinical
BLM	1	0	1	opentargets_high_evidence		opentargets_high_evidence
BMP10	1	0	1	chembl_clinical		chembl_clinical
BMPR1A	1	0	2	chembl_clinical;opentargets_high_evidence		chembl_clinical;opentargets_high_evidence
BMPR1B	1	0	1	chembl_clinical		chembl_clinical
BMPR2	1	0	1	chembl_clinical		chembl_clinical
BMX	1	0	1	chembl_clinical		chembl_clinical
BOTA	1	0	1	chembl_clinical		chembl_clinical
BRAF	1	0	3	chembl_clinical;known_direct_drug;opentargets_high_evidence		chembl_clinical;known_direct_drug;opentargets_high_evidence
BRCA1	1	1	3	known_biomarker;opentargets_high_evidence	curated_literature:OpenTargets2025	curated_literature:OpenTargets2025;known_biomarker;opentargets_high_evidence
BRCA2	1	1	3	known_biomarker;opentargets_high_evidence	curated_literature:OpenTargets2025	curated_literature:OpenTargets2025;known_biomarker;opentargets_high_evidence
BRD2	1	0	1	chembl_clinical		chembl_clinical
BRD3	1	0	2	chembl_clinical;opentargets_high_evidence		chembl_clinical;opentargets_high_evidence
BRD4	1	1	2	chembl_clinical	article_context_literature:nwosu2025	article_context_literature:nwosu2025;chembl_clinical
BRDT	1	0	1	chembl_clinical		chembl_clinical
BRIP1	1	0	1	opentargets_high_evidence		opentargets_high_evidence
BSG	1	0	1	chembl_clinical		chembl_clinical
BTK	1	0	2	chembl_clinical;opentargets_high_evidence		chembl_clinical;opentargets_high_evidence
C11ORF65	1	0	1	opentargets_high_evidence		opentargets_high_evidence
C1S	1	0	1	chembl_clinical		chembl_clinical
C3	1	0	1	chembl_clinical		chembl_clinical
C5	1	0	1	chembl_clinical		chembl_clinical
C5AR1	1	0	1	chembl_clinical		chembl_clinical
C5ORF23	1	0	1	chembl_clinical		chembl_clinical
C9ORF3	1	0	1	chembl_clinical		chembl_clinical
CA1	1	0	1	chembl_clinical		chembl_clinical
CA12	1	0	1	chembl_clinical		chembl_clinical
CA13	1	0	1	chembl_clinical		chembl_clinical
CA14	1	0	1	chembl_clinical		chembl_clinical
CA2	1	0	1	chembl_clinical		chembl_clinical
CA3	1	0	1	chembl_clinical		chembl_clinical
CA4	1	0	1	chembl_clinical		chembl_clinical
CA5A	1	0	1	chembl_clinical		chembl_clinical
CA5B	1	0	1	chembl_clinical		chembl_clinical
CA6	1	0	1	chembl_clinical		chembl_clinical
CA7	1	0	1	chembl_clinical		chembl_clinical
CA9	1	0	1	chembl_clinical		chembl_clinical
CACNA1A	1	0	1	chembl_clinical		chembl_clinical
CACNA1B	1	0	1	chembl_clinical		chembl_clinical
CACNA1C	1	0	1	chembl_clinical		chembl_clinical
CACNA1D	1	0	2	chembl_clinical;opentargets_high_evidence		chembl_clinical;opentargets_high_evidence
CACNA1E	1	0	1	chembl_clinical		chembl_clinical
CACNA1F	1	0	1	chembl_clinical		chembl_clinical
CACNA1G	1	0	1	chembl_clinical		chembl_clinical
CACNA1H	1	0	1	chembl_clinical		chembl_clinical
CACNA1I	1	0	1	chembl_clinical		chembl_clinical
CACNA1S	1	0	1	chembl_clinical		chembl_clinical
CACNA2D1	1	0	1	chembl_clinical		chembl_clinical
CACNA2D2	1	0	1	chembl_clinical		chembl_clinical
CACNA2D3	1	0	1	chembl_clinical		chembl_clinical
CACNA2D4	1	0	1	chembl_clinical		chembl_clinical
CACNB1	1	0	1	chembl_clinical		chembl_clinical
CACNB2	1	0	1	chembl_clinical		chembl_clinical
CACNB3	1	0	1	chembl_clinical		chembl_clinical
CACNB4	1	0	1	chembl_clinical		chembl_clinical
CACNG1	1	0	1	chembl_clinical		chembl_clinical
CACNG2	1	0	1	chembl_clinical		chembl_clinical
CACNG3	1	0	1	chembl_clinical		chembl_clinical
CACNG4	1	0	1	chembl_clinical		chembl_clinical
