method,axis,top_k,positive_recovery,precision_at_k,enrichment_over_random,median_rank_percentile,mean_rank_percentile,class_I_II_fraction,high_safety_risk_fraction,biomarker_like_fraction,median_safety_risk,median_dependency_score,cancer
Dual-axis sampled-background PU,translational,20,0.2727272727272727,0.15,553.5136363636364,0.99320029563932,0.924130439651504,0.65,0.05,0.15,0.5381462068964512,0.0091742296538947,PDAC
Dual-axis sampled-background PU,translational,50,0.3636363636363636,0.08,295.2072727272727,0.99320029563932,0.924130439651504,0.58,0.1,0.16,0.5424874169558356,0.0063194734525582,PDAC
Dual-axis sampled-background PU,translational,100,0.3636363636363636,0.04,147.60363636363635,0.99320029563932,0.924130439651504,0.54,0.05,0.12,0.539969432887146,0.0019973743821909,PDAC
Dual-axis sampled-background PU,translational,200,0.3636363636363636,0.02,73.80181818181818,0.99320029563932,0.924130439651504,0.4,0.07,0.165,0.5447841955352059,0.0015403035627593,PDAC
Dual-axis sampled-background PU,functional,20,0.1333333333333333,0.2,270.6066666666667,0.9862527716186252,0.961773014699844,0.15,0.2,0.4,0.5683506924991364,0.0104551995469979,PDAC
Dual-axis sampled-background PU,functional,50,0.1333333333333333,0.08,108.24266666666666,0.9862527716186252,0.961773014699844,0.2,0.16,0.4,0.5581578576484347,0.0252477131310234,PDAC
Dual-axis sampled-background PU,functional,100,0.1333333333333333,0.04,54.12133333333333,0.9862527716186252,0.961773014699844,0.19,0.12,0.43,0.5575532416960305,0.0276582734848742,PDAC
Dual-axis sampled-background PU,functional,200,0.3,0.045,60.88649999999999,0.9862527716186252,0.961773014699844,0.21,0.095,0.465,0.5573606781355634,0.0073405916628905,PDAC
Dual-axis sampled-background PU,translational,20,0.1428571428571428,0.05,253.4142857142857,0.9992389435408856,0.997551733718828,0.65,0.0,0.0,0.5157684489282888,0.0263774140451391,LUAD
Dual-axis sampled-background PU,translational,50,0.5714285714285714,0.08,405.4628571428571,0.9992389435408856,0.997551733718828,0.68,0.0,0.08,0.5031282628764648,0.0264500279352119,LUAD
Dual-axis sampled-background PU,translational,100,0.5714285714285714,0.04,202.73142857142852,0.9992389435408856,0.997551733718828,0.65,0.0,0.08,0.5039354888006371,0.0177750891321083,LUAD
Dual-axis sampled-background PU,translational,200,0.8571428571428571,0.03,152.04857142857142,0.9992389435408856,0.997551733718828,0.545,0.0,0.075,0.5160567041262702,0.0163998144794469,LUAD
Dual-axis sampled-background PU,functional,20,0.0,0.0,0.0,0.9501930828424048,0.8742870968045025,0.0,1.0,0.0,0.9894947958492556,0.7589231982786157,LUAD
Dual-axis sampled-background PU,functional,50,0.0555555555555555,0.04,39.42,0.9501930828424048,0.8742870968045025,0.0,0.9,0.02,0.9691536404733608,0.7496643997405921,LUAD
Dual-axis sampled-background PU,functional,100,0.0555555555555555,0.02,19.71,0.9501930828424048,0.8742870968045025,0.0,0.86,0.02,0.951150624790619,0.7360181842289122,LUAD
Dual-axis sampled-background PU,functional,200,0.0555555555555555,0.01,9.855,0.9501930828424048,0.8742870968045025,0.015,0.76,0.025,0.9239445077082268,0.6262525382114954,LUAD

