variant,parameter,axis,spearman_with_primary,top50_overlap_with_primary,top50_benchmark_recovery,n_repeats,background_ratio,matched_background,C,l1_ratio,cancer
l1_ratio_0.1,l1_ratio,translational,0.9817068664031264,0.76,0.3636363636363636,10,8,1,1.0,0.1,PDAC
l1_ratio_0.1,l1_ratio,functional,0.994238962486901,0.98,0.1333333333333333,10,8,1,1.0,0.1,PDAC
l1_ratio_0.5,l1_ratio,translational,0.9620984405397672,0.78,0.3636363636363636,10,8,1,1.0,0.5,PDAC
l1_ratio_0.5,l1_ratio,functional,0.995180823540864,0.98,0.1333333333333333,10,8,1,1.0,0.5,PDAC
l1_ratio_0.9,l1_ratio,translational,0.9301870038649336,0.82,0.3636363636363636,10,8,1,1.0,0.9,PDAC
l1_ratio_0.9,l1_ratio,functional,0.9954172653041358,1.0,0.1333333333333333,10,8,1,1.0,0.9,PDAC
C_0.3,C,translational,0.837086873423166,0.64,0.3636363636363636,10,8,1,0.3,0.5,PDAC
C_0.3,C,functional,0.9950554410075813,0.96,0.1333333333333333,10,8,1,0.3,0.5,PDAC
C_1.0,C,translational,0.9620984405397672,0.78,0.3636363636363636,10,8,1,1.0,0.5,PDAC
C_1.0,C,functional,0.995180823540864,0.98,0.1333333333333333,10,8,1,1.0,0.5,PDAC
C_3.0,C,translational,0.9811859624851752,0.82,0.3636363636363636,10,8,1,3.0,0.5,PDAC
C_3.0,C,functional,0.9925544986604832,1.0,0.1333333333333333,10,8,1,3.0,0.5,PDAC
background_ratio_4,background_ratio,translational,0.9249235230601226,0.58,0.3636363636363636,10,4,1,1.0,0.5,PDAC
background_ratio_4,background_ratio,functional,0.9923437442822176,0.9,0.1333333333333333,10,4,1,1.0,0.5,PDAC
background_ratio_8,background_ratio,translational,0.9620984405397672,0.78,0.3636363636363636,10,8,1,1.0,0.5,PDAC
background_ratio_8,background_ratio,functional,0.995180823540864,0.98,0.1333333333333333,10,8,1,1.0,0.5,PDAC
background_ratio_12,background_ratio,translational,0.9558017370660248,0.72,0.2727272727272727,10,12,1,1.0,0.5,PDAC
background_ratio_12,background_ratio,functional,0.9938584057367624,0.94,0.1333333333333333,10,12,1,1.0,0.5,PDAC
matched_background_0,matched_background,translational,0.6139526112159402,0.48,0.3636363636363636,10,8,0,1.0,0.5,PDAC
matched_background_0,matched_background,functional,0.8843221529069537,0.7,0.2,10,8,0,1.0,0.5,PDAC
matched_background_1,matched_background,translational,0.9620984405397672,0.78,0.3636363636363636,10,8,1,1.0,0.5,PDAC
matched_background_1,matched_background,functional,0.995180823540864,0.98,0.1333333333333333,10,8,1,1.0,0.5,PDAC
l1_ratio_0.1,l1_ratio,translational,0.9790090442375652,0.88,0.5714285714285714,10,8,1,1.0,0.1,LUAD
l1_ratio_0.1,l1_ratio,functional,0.998451364519865,0.96,0.0555555555555555,10,8,1,1.0,0.1,LUAD
l1_ratio_0.5,l1_ratio,translational,0.9913276288724798,0.92,0.5714285714285714,10,8,1,1.0,0.5,LUAD
l1_ratio_0.5,l1_ratio,functional,0.9987015257843,0.96,0.0555555555555555,10,8,1,1.0,0.5,LUAD
l1_ratio_0.9,l1_ratio,translational,0.9664652774056772,0.92,0.5714285714285714,10,8,1,1.0,0.9,LUAD
l1_ratio_0.9,l1_ratio,functional,0.9977652586254362,0.96,0.0555555555555555,10,8,1,1.0,0.9,LUAD
C_0.3,C,translational,0.9338559631102228,0.84,0.5714285714285714,10,8,1,0.3,0.5,LUAD
C_0.3,C,functional,0.9883415849384204,0.84,0.0555555555555555,10,8,1,0.3,0.5,LUAD
C_1.0,C,translational,0.9913276288724798,0.92,0.5714285714285714,10,8,1,1.0,0.5,LUAD
C_1.0,C,functional,0.9987015257843,0.96,0.0555555555555555,10,8,1,1.0,0.5,LUAD
C_3.0,C,translational,0.9697312607433708,0.9,0.5714285714285714,10,8,1,3.0,0.5,LUAD
C_3.0,C,functional,0.9980421183326152,0.94,0.0555555555555555,10,8,1,3.0,0.5,LUAD
background_ratio_4,background_ratio,translational,0.8394269522560063,0.84,0.5714285714285714,10,4,1,1.0,0.5,LUAD
background_ratio_4,background_ratio,functional,0.997162562057522,0.86,0.0555555555555555,10,4,1,1.0,0.5,LUAD
background_ratio_8,background_ratio,translational,0.9913276288724798,0.92,0.5714285714285714,10,8,1,1.0,0.5,LUAD
background_ratio_8,background_ratio,functional,0.9987015257843,0.96,0.0555555555555555,10,8,1,1.0,0.5,LUAD
background_ratio_12,background_ratio,translational,0.9347354511351688,0.92,0.5714285714285714,10,12,1,1.0,0.5,LUAD
background_ratio_12,background_ratio,functional,0.9995551133499097,0.94,0.0555555555555555,10,12,1,1.0,0.5,LUAD
matched_background_0,matched_background,translational,0.631057246297824,0.8,0.5714285714285714,10,8,0,1.0,0.5,LUAD
matched_background_0,matched_background,functional,0.9634296774558424,0.64,0.0277777777777777,10,8,0,1.0,0.5,LUAD
matched_background_1,matched_background,translational,0.9913276288724798,0.92,0.5714285714285714,10,8,1,1.0,0.5,LUAD
matched_background_1,matched_background,functional,0.9987015257843,0.96,0.0555555555555555,10,8,1,1.0,0.5,LUAD

