high_score_percentile,safety_factor_min,class_I_count,class_II_count,class_III_count,class_IV_count,class_V_count,class_VI_count,cancer,class_I_II_count
0.01,0.3,201,70,1893,1184,2978,34265,PDAC,271
0.01,0.4,156,55,1895,1184,2983,34318,PDAC,211
0.01,0.5,59,23,1899,1184,2998,34428,PDAC,82
0.02,0.3,362,105,1880,1184,2958,34102,PDAC,467
0.02,0.4,298,75,1884,1184,2967,34183,PDAC,373
0.02,0.5,113,28,1895,1184,2998,34373,PDAC,141
0.05,0.3,760,171,1821,1184,2929,33726,PDAC,931
0.05,0.4,605,110,1839,1184,2947,33906,PDAC,715
0.05,0.5,238,37,1876,1184,2989,34267,PDAC,275
0.01,0.3,190,21,574,1184,1407,32102,LUAD,211
0.01,0.4,156,5,574,1184,1408,32151,LUAD,161
0.01,0.5,63,1,574,1184,1419,32237,LUAD,64
0.02,0.3,325,44,574,1184,1387,31964,LUAD,369
0.02,0.4,266,14,574,1184,1392,32048,LUAD,280
0.02,0.5,132,0,574,1184,1410,32178,LUAD,132
0.05,0.3,548,126,574,1184,1372,31674,LUAD,674
0.05,0.4,430,53,574,1184,1383,31854,LUAD,483
0.05,0.5,194,6,574,1184,1407,32113,LUAD,200

